IL1L,BWM_DR06,IL2VR,IL2VL,BWM_VL05,CEPVR,CEPVL,OLQVL,BWM_VL06,SAADR,RIH,RIR,SMBVR,AIAL,BDUL,BDUR,RID,RMED,RIGR,AIYR,SIAVR,SIAVL,SIADL,SMBDL,SMBDR,AIBR,RIMR,RIBR,RICR,AVBR,SAADL,AVL,BWM_VL07,BWM_VR01,BWM_VR04,BWM_VR02,BWM_VR03,BWM_VL02,BWM_VL01,BWM_VL03,AWCL,AWBL,ASIL,AWAL,URADL,IL1DR,URYDR,OLQDR,URYDL,IL1DL,URBL,OLQDL,URYVL,URAVL,URAVR,IL1VL,IL1VR,OLQVR,RIPR,URYVR,RMER,BWM_VR05,BAGR,BAGL,BWM_DL05,BWM_DL06,RMDVR,RMEL,RMDVL,SMDVR,AVAR,SAAVR,RMDR,RMEV,CEPDR,CEPDL,AVAL,RMDL,URXL,AVEL,AFDL,ADFL,SMDDR,SIBVL,SMDDL,AWBR,ASHR,ASKL,RIAL,SMDVL,RMDDR,AWCR,ADFR,AVER,SIBDR,RMDDL,RIAR,AFDR,SAAVL,ASKR,SIBVR,ADLR,AWAR,AIBL,ASHL,AUAL,AUAR,AIAR,SIADR,ASGR,ASER,ADLL,AVHR,ASGL,ASJL,RIBL,ASEL,AVBL,BWM_DR07,AVJR,RIVR,AVDR,RIVL,AVJL,AIMR,AIZR,AVHL,RIML,FLPR,RIS,AVDL,RICL,AINR,AIML,RIFR,RIFL,ADER,AIYL,FLPL,AIZL,AINL,ADEL,AVKL,AVKR,ADAR,ADAL,RMGR,RMGL,RIGL,SIBDL,ASJR,ALMR,ALML,BWM_VL08,BWM_DR04,BWM_DR02,BWM_DL02,IL1R,BWM_DR01,URBR,RIPL,URXR,BWM_DL01,SMBVL,BWM_VR06,BWM_VR08,BWM_DR03,BWM_DR05,BWM_DR08,BWM_DL08,BWM_DL03,BWM_VR07,URADR,OLLL,IL2L,BWM_DL04,PVQR,PVPR,ALA,IL2DL,BWM_VL04,ASIR,OLLR,IL2DR,IL2R,PVT,PVPL,PVQL,PVCL,DVC,DVA,PVCR,PVR,Other,Glia,Neurons,Muscles,excgl,SABD,DB1,DA1,CANR
0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864,0,591,0,0,0,0,0,0,0,0,0,0,25211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32201,10151,0,0,0,0,0,0,0,0,0,0,2473,0,0,0,0,0,0,0,0,0,0,13181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2418,0,0,0,0,0,0,0,0,0,0,0,0,31315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31713,16263,0,0,0,0,0,0,0,0,0,0,2770,0,0,0,0,0,0,0,0,0,0,33189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,0
0,0,0,0,0,0,0,0,0,0,17136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2163,0,0,0,0,0,0,0,0,0,0,0,0,23564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19262,21784,0,0,0,0,0,0,0,0,0,0,3185,0,0,0,0,0,0,0,0,0,0,48146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0
0,0,0,0,0,0,0,0,0,0,26722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2627,0,0,0,0,0,0,0,0,0,0,0,0,26273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25951,27096,0,0,0,0,0,0,0,0,0,0,3868,0,0,0,0,0,0,0,0,0,0,62946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,41491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,0,70,0,0,0,0,0,0,0,0,0,0,17389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25794,25776,0,0,0,0,0,0,0,0,0,0,3446,0,0,0,0,0,0,0,0,0,0,73281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,67666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937,0,0,0,0,0,0,0,0,0,0,0,0,13920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41285,29047,0,0,0,0,0,0,0,0,0,0,3492,0,0,0,0,0,0,0,0,0,0,90448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
0,0,0,0,0,0,0,0,0,0,75374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103,0,0,0,0,0,0,0,0,0,0,0,0,15421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21136,26994,0,0,0,0,0,0,0,0,0,0,4038,0,0,0,0,0,0,0,0,0,0,99968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0
0,0,0,0,0,0,0,0,0,0,92075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2609,0,0,0,0,0,0,0,0,0,0,0,0,25431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30146,26928,0,0,0,0,0,0,0,0,0,0,4644,0,0,0,0,0,0,0,0,0,0,119006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
