,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,BDUL,BDUR,DVC,PVCL,PVCR,PVNL,PVNR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,HSNL,HSNR,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08,CANL,CANR,CEPshDL,CEPshDR,CEPshVL,CEPshVR,GLRDL,GLRDR,GLRL,GLRR,GLRVL,GLRVR,excgl
ADFL,0.0,170640.0,0.0,0.0,528960.0,0.0,0.0,0.0,0.0,0.0,0.0,121680.0,341040.0,0.0,0.0,1050960.0,0.0,48360.0,0.0,13080.0,0.0,0.0,0.0,2141160.0,415800.0,0.0,1526760.0,0.0,2310960.0,62160.0,0.0,3120.0,0.0,30240.0,9480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822600.0,0.0,0.0,0.0,1560.0,0.0,249360.0,0.0,268440.0,0.0,116880.0,24600.0,0.0,8040.0,885240.0,7200.0,3119280.0,104880.0,0.0,0.0,123960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148080.0,99720.0,0.0,0.0,1490280.0,0.0,152520.0,0.0,238440.0,2160.0,157560.0,0.0,80520.0,0.0,0.0,0.0,0.0,1007520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323760.0,0.0,85680.0,0.0,321480.0,0.0,817200.0,0.0,1216320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADFR,170640.0,0.0,0.0,0.0,0.0,2348520.0,0.0,0.0,0.0,0.0,0.0,123960.0,395760.0,0.0,0.0,0.0,1307400.0,0.0,0.0,0.0,28440.0,0.0,0.0,0.0,2287920.0,0.0,0.0,2013240.0,0.0,2277120.0,0.0,0.0,5040.0,0.0,15960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16320.0,0.0,170160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822960.0,0.0,0.0,0.0,54000.0,0.0,299160.0,0.0,101760.0,0.0,0.0,42960.0,0.0,0.0,691320.0,0.0,2399640.0,0.0,0.0,0.0,100320.0,0.0,7560.0,0.0,0.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135000.0,0.0,0.0,0.0,1482000.0,0.0,333600.0,0.0,37680.0,0.0,498960.0,142200.0,0.0,3000.0,0.0,0.0,953160.0,0.0,41520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160320.0,0.0,0.0,0.0,0.0,0.0,792960.0,0.0,1950480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840.0,0.0,9720.0,0.0,1158840.0,12720.0,0.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADLL,0.0,0.0,0.0,447360.0,0.0,0.0,7440.0,0.0,0.0,0.0,10200.0,1480920.0,0.0,0.0,0.0,1109880.0,0.0,163200.0,45360.0,131280.0,5640.0,1890120.0,26880.0,0.0,0.0,0.0,1694640.0,0.0,899640.0,0.0,1314120.0,288480.0,0.0,0.0,0.0,0.0,0.0,67440.0,0.0,74280.0,0.0,0.0,0.0,59640.0,0.0,49560.0,0.0,102360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18480.0,0.0,38640.0,0.0,58320.0,0.0,349920.0,0.0,415800.0,5280.0,925680.0,0.0,120.0,0.0,4080.0,0.0,3600.0,0.0,143160.0,0.0,159480.0,5880.0,96600.0,699480.0,0.0,0.0,0.0,0.0,0.0,515400.0,0.0,0.0,0.0,28560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38520.0,0.0,23880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,34440.0,0.0,0.0,0.0,0.0,1463400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916680.0,0.0,138840.0,83040.0,379560.0,201120.0,513600.0,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,516960.0,0.0,0.0,0.0,0.0,0.0,78720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADLR,0.0,0.0,447360.0,0.0,0.0,0.0,0.0,1560.0,0.0,0.0,0.0,0.0,1527720.0,0.0,0.0,0.0,1008960.0,0.0,34440.0,0.0,9960.0,73560.0,1548840.0,0.0,0.0,0.0,0.0,1801920.0,0.0,798840.0,0.0,1658040.0,0.0,0.0,90000.0,0.0,0.0,0.0,1320.0,0.0,90120.0,0.0,0.0,0.0,129360.0,0.0,0.0,0.0,129960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117480.0,0.0,116760.0,0.0,15480.0,0.0,85320.0,0.0,313920.0,0.0,434880.0,0.0,1227840.0,0.0,100920.0,0.0,104880.0,0.0,13680.0,0.0,0.0,0.0,187200.0,531360.0,158760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14280.0,0.0,0.0,0.0,0.0,6480.0,0.0,0.0,43560.0,0.0,34440.0,0.0,0.0,0.0,9240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125040.0,0.0,0.0,0.0,0.0,0.0,0.0,1686000.0,95520.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,136920.0,0.0,0.0,617520.0,21840.0,289320.0,268080.0,59160.0,471000.0,127680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621840.0,0.0,0.0,0.0,0.0,0.0,161160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFDL,528960.0,0.0,0.0,0.0,0.0,165600.0,0.0,0.0,0.0,0.0,0.0,61080.0,1832400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2069640.0,0.0,0.0,468600.0,0.0,117360.0,0.0,630720.0,2760.0,0.0,903120.0,0.0,0.0,0.0,15960.0,0.0,130320.0,0.0,0.0,0.0,25440.0,0.0,74520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96360.0,0.0,0.0,0.0,0.0,275880.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846840.0,0.0,289320.0,3673800.0,4345920.0,0.0,1470000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11400.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14160.0,42480.0,0.0,12000.0,0.0,0.0,0.0,29280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFDR,0.0,2348520.0,0.0,0.0,165600.0,0.0,0.0,0.0,0.0,0.0,0.0,1014000.0,619800.0,0.0,0.0,0.0,22800.0,0.0,692400.0,0.0,0.0,0.0,2760.0,145800.0,2634120.0,85080.0,0.0,372120.0,0.0,231360.0,267600.0,536160.0,1904520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,72240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573600.0,2865360.0,495480.0,219000.0,3868920.0,0.0,972720.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23400.0,0.0,39840.0,0.0,0.0,0.0,37680.0,0.0,0.0,0.0,0.0,0.0,203640.0,0.0,12000.0,0.0,3480.0,0.0,0.0,0.0,25200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11760.0,0.0,0.0,0.0,0.0,0.0,0.0,491880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALML,0.0,0.0,7440.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,8280.0,0.0,0.0,0.0,10440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275640.0,11520.0,0.0,1491360.0,0.0,87720.0,0.0,207480.0,0.0,10200.0,0.0,34440.0,0.0,1331640.0,0.0,0.0,0.0,0.0,0.0,171720.0,0.0,0.0,0.0,0.0,0.0,66240.0,0.0,676800.0,0.0,248760.0,858240.0,210600.0,0.0,1259760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691640.0,0.0,0.0,0.0,0.0,0.0,345240.0,0.0,0.0,0.0,0.0,11760.0,0.0,15480.0,0.0,0.0,5400.0,0.0,141960.0,0.0,0.0,0.0,0.0,0.0,0.0,200040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311760.0,0.0,737040.0,0.0,0.0,0.0,294480.0,0.0,192840.0,0.0,524880.0,0.0,0.0,0.0,24240.0,0.0,0.0,0.0,0.0,0.0,0.0,155400.0,0.0,369120.0,0.0,0.0,0.0,8520.0,306840.0,0.0,109320.0,301200.0,0.0,0.0,0.0,595080.0,0.0,681360.0,0.0,0.0,0.0,43560.0,0.0,0.0,19440.0,534240.0,0.0,97080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4440.0,0.0,42600.0,0.0,0.0,0.0,0.0,0.0,13320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALMR,0.0,0.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7080.0,0.0,0.0,0.0,93840.0,0.0,0.0,0.0,0.0,1235160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188160.0,0.0,0.0,27720.0,0.0,1320000.0,0.0,193080.0,0.0,408120.0,0.0,0.0,0.0,0.0,0.0,745680.0,0.0,0.0,0.0,0.0,0.0,131280.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,636360.0,465240.0,298200.0,0.0,109800.0,0.0,1892520.0,0.0,0.0,374040.0,0.0,0.0,0.0,0.0,1908600.0,0.0,0.0,0.0,0.0,0.0,0.0,655680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553920.0,0.0,0.0,0.0,247560.0,0.0,0.0,0.0,486840.0,0.0,0.0,0.0,2880.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,73920.0,0.0,414360.0,3960.0,475800.0,180120.0,0.0,327120.0,589200.0,13920.0,0.0,0.0,0.0,0.0,184080.0,0.0,433440.0,0.0,0.0,0.0,34200.0,0.0,2640.0,0.0,0.0,0.0,107280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALNL,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472800.0,920400.0,7560.0,11640.0,0.0,66480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,21720.0,5160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,0.0,0.0,0.0,199680.0,0.0,0.0,376440.0,0.0,97440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70800.0,33240.0,0.0,427680.0,10920.0,0.0,0.0,114600.0,147720.0,0.0,0.0,567840.0,0.0,0.0,6360.0,1073400.0,112200.0,70920.0,0.0,0.0,0.0,0.0,468120.0,0.0,25800.0,0.0,2880.0,16680.0,0.0,2760.0,0.0,17280.0,12120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63720.0,98640.0,3360.0,0.0,1024200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,47640.0,0.0,0.0,0.0,0.0,0.0,0.0,458640.0,114480.0,0.0,980280.0,0.0,42840.0,0.0,35040.0,0.0,28200.0,0.0,0.0,0.0,0.0,0.0,9840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26160.0,0.0,0.0,0.0,0.0,0.0,118800.0,0.0,179640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,307320.0,47280.0,0.0,184800.0,0.0,600.0,320640.0,0.0,0.0,0.0,0.0,0.0,0.0,253920.0,421200.0,337200.0,0.0,0.0,53040.0,18480.0,0.0,0.0,212760.0,534840.0,0.0,0.0,181440.0,374400.0,15120.0,192960.0,203880.0,0.0,0.0,0.0,0.0,0.0,509880.0,0.0,18480.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62040.0,38760.0,0.0,0.0,0.0,1373640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
