,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,BDUL,BDUR,DVC,PVCL,PVCR,PVNL,PVNR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,HSNL,HSNR,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08,CANL,CANR,CEPshDL,CEPshDR,CEPshVL,CEPshVR,GLRDL,GLRDR,GLRL,GLRR,GLRVL,GLRVR,excgl
ADFL,0.0,543600.0,1009920.0,0.0,1350240.0,0.0,0.0,0.0,0.0,0.0,0.0,820200.0,4080.0,219720.0,0.0,699720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4587960.0,116520.0,0.0,2991840.0,0.0,5319960.0,166560.0,0.0,13920.0,0.0,84720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2543760.0,0.0,0.0,0.0,1680.0,0.0,858240.0,0.0,1380480.0,0.0,320640.0,329400.0,0.0,14760.0,1041960.0,0.0,7040760.0,284040.0,0.0,0.0,180600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486000.0,316680.0,0.0,0.0,2201040.0,0.0,801840.0,4920.0,852120.0,5280.0,327840.0,0.0,1092840.0,246120.0,0.0,0.0,0.0,2890800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274080.0,0.0,617400.0,0.0,0.0,0.0,1550160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651000.0,0.0,0.0,9360.0,0.0,2400.0,1183560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADFR,543600.0,0.0,0.0,395640.0,0.0,832200.0,0.0,0.0,0.0,0.0,0.0,79320.0,291360.0,0.0,1200.0,0.0,970320.0,0.0,15840.0,0.0,0.0,0.0,0.0,0.0,4854360.0,0.0,0.0,3395520.0,0.0,5524440.0,0.0,0.0,78000.0,0.0,36360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396320.0,0.0,0.0,0.0,28920.0,0.0,125520.0,0.0,644760.0,3000.0,120.0,0.0,0.0,0.0,419400.0,53880.0,6443400.0,0.0,0.0,0.0,163800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323760.0,0.0,0.0,0.0,2667240.0,0.0,417720.0,0.0,574560.0,0.0,293160.0,119280.0,0.0,162120.0,0.0,0.0,3432360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192720.0,0.0,0.0,0.0,0.0,0.0,328800.0,0.0,2760.0,0.0,686400.0,0.0,262920.0,0.0,3201480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323880.0,0.0,0.0,0.0,2064720.0,0.0,18360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88200.0,66600.0,0.0,0.0,462720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADLL,1009920.0,0.0,0.0,473520.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,3010080.0,0.0,232200.0,0.0,5568600.0,0.0,42360.0,0.0,0.0,0.0,0.0,4921080.0,0.0,0.0,0.0,4675200.0,0.0,2988720.0,0.0,2970120.0,827280.0,0.0,0.0,0.0,0.0,0.0,121800.0,0.0,134880.0,0.0,0.0,0.0,179520.0,0.0,73200.0,0.0,207000.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,91920.0,0.0,9120.0,0.0,60960.0,0.0,5160.0,0.0,2026680.0,0.0,1077240.0,0.0,4906440.0,0.0,0.0,2160.0,152280.0,0.0,720.0,0.0,1825800.0,0.0,196080.0,0.0,344040.0,1070640.0,0.0,0.0,0.0,0.0,0.0,37560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414360.0,0.0,0.0,0.0,0.0,425640.0,0.0,0.0,0.0,84840.0,56880.0,0.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27960.0,103320.0,0.0,0.0,0.0,1948800.0,0.0,0.0,0.0,0.0,0.0,12720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247640.0,441840.0,98280.0,0.0,677160.0,539520.0,246120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835560.0,710040.0,1049640.0,0.0,0.0,0.0,0.0,0.0,42480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADLR,0.0,395640.0,473520.0,0.0,0.0,70320.0,0.0,0.0,0.0,0.0,8280.0,0.0,3550440.0,0.0,0.0,0.0,2305440.0,2160.0,31080.0,0.0,0.0,2890320.0,146280.0,0.0,0.0,0.0,0.0,4648200.0,0.0,2104680.0,150960.0,2697840.0,0.0,0.0,0.0,0.0,0.0,0.0,104640.0,0.0,51720.0,0.0,0.0,0.0,108360.0,0.0,81240.0,0.0,335400.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,54840.0,0.0,10320.0,0.0,67920.0,0.0,196560.0,0.0,928920.0,0.0,1655280.0,0.0,3625440.0,2760.0,0.0,0.0,0.0,0.0,19680.0,0.0,1384080.0,0.0,11760.0,1274040.0,266520.0,0.0,0.0,0.0,0.0,0.0,0.0,162960.0,0.0,0.0,0.0,622800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.0,8760.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,98760.0,0.0,50880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58440.0,0.0,0.0,0.0,0.0,0.0,0.0,2563080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807360.0,464400.0,0.0,2244120.0,288720.0,213000.0,194880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127800.0,0.0,1462680.0,7560.0,0.0,0.0,0.0,0.0,105960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFDL,1350240.0,0.0,0.0,0.0,0.0,305880.0,0.0,0.0,0.0,0.0,0.0,1078320.0,5260080.0,42240.0,0.0,0.0,0.0,534840.0,0.0,0.0,0.0,0.0,0.0,7573200.0,297120.0,0.0,3117000.0,0.0,230760.0,0.0,1609560.0,574800.0,0.0,2067120.0,0.0,0.0,0.0,49680.0,0.0,22680.0,0.0,0.0,0.0,28200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199440.0,0.0,27480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011360.0,0.0,2219760.0,6927720.0,9121200.0,26280.0,1239360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13080.0,0.0,109080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24840.0,0.0,10320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFDR,0.0,832200.0,0.0,70320.0,305880.0,0.0,0.0,0.0,0.0,0.0,0.0,3919680.0,1397520.0,0.0,1920.0,0.0,0.0,0.0,1035720.0,0.0,0.0,0.0,0.0,0.0,6398520.0,0.0,0.0,3410040.0,0.0,990840.0,497280.0,1152000.0,2126520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30480.0,0.0,0.0,0.0,6720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85920.0,0.0,744720.0,6925440.0,1839360.0,83160.0,7686600.0,0.0,1928520.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11760.0,0.0,0.0,22440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,799320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALML,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,8280.0,0.0,331560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429720.0,0.0,0.0,0.0,0.0,0.0,3055080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715800.0,14520.0,0.0,1017240.0,0.0,91080.0,0.0,724080.0,0.0,0.0,0.0,5640.0,0.0,1323960.0,0.0,0.0,0.0,0.0,0.0,368040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503960.0,0.0,1649520.0,787080.0,9960.0,0.0,3362040.0,0.0,0.0,2133840.0,0.0,690360.0,418920.0,241920.0,0.0,1386360.0,0.0,0.0,0.0,0.0,0.0,1154520.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,189360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44640.0,0.0,0.0,0.0,0.0,0.0,96360.0,0.0,0.0,0.0,2364000.0,0.0,0.0,0.0,380400.0,0.0,61920.0,0.0,480720.0,0.0,0.0,0.0,37200.0,0.0,0.0,0.0,0.0,0.0,0.0,795600.0,0.0,1691160.0,0.0,81720.0,0.0,353160.0,478560.0,0.0,511080.0,519840.0,0.0,0.0,0.0,771960.0,0.0,570840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825240.0,0.0,1049880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65640.0,0.0,0.0,0.0,0.0,2670840.0,0.0,795240.0,0.0,705120.0,0.0,0.0,0.0,0.0,0.0,1154880.0,0.0,0.0,0.0,0.0,0.0,239040.0,0.0,0.0,0.0,0.0,0.0,0.0,841320.0,650400.0,1210680.0,2576280.0,0.0,229440.0,0.0,1711680.0,0.0,0.0,1427160.0,1167720.0,1626960.0,0.0,0.0,1345560.0,0.0,0.0,0.0,0.0,0.0,0.0,349920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169640.0,0.0,0.0,0.0,871320.0,0.0,256920.0,0.0,627720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504680.0,0.0,642240.0,0.0,0.0,575160.0,0.0,407280.0,804000.0,320640.0,0.0,0.0,0.0,0.0,925560.0,0.0,1164000.0,504840.0,0.0,0.0,0.0,0.0,9840.0,0.0,0.0,0.0,337560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALNL,0.0,0.0,0.0,0.0,0.0,0.0,8280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269520.0,596520.0,2333520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5880.0,0.0,0.0,0.0,0.0,0.0,14880.0,0.0,0.0,0.0,0.0,0.0,0.0,22440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58080.0,0.0,0.0,0.0,0.0,0.0,133080.0,0.0,0.0,0.0,483960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350280.0,25560.0,0.0,0.0,13680.0,0.0,197520.0,0.0,0.0,0.0,0.0,0.0,879120.0,512640.0,1239840.0,0.0,1512120.0,22320.0,0.0,0.0,162360.0,0.0,0.0,0.0,1567320.0,0.0,0.0,5760.0,1914840.0,1289160.0,555840.0,0.0,0.0,0.0,0.0,1159560.0,0.0,0.0,0.0,36240.0,99360.0,0.0,0.0,0.0,4320.0,0.0,0.0,457200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9120.0,0.0,0.0,0.0,1848120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181080.0,0.0,0.0,0.0,0.0,0.0,0.0,349440.0,30720.0,0.0,2231280.0,0.0,0.0,0.0,121920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,296160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66720.0,0.0,0.0,0.0,0.0,0.0,18240.0,0.0,178440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171600.0,570480.0,0.0,0.0,284160.0,0.0,329520.0,0.0,0.0,0.0,0.0,0.0,56400.0,0.0,1164480.0,0.0,785280.0,0.0,0.0,0.0,688080.0,0.0,0.0,0.0,1584240.0,0.0,0.0,65520.0,1991640.0,90960.0,421680.0,6600.0,0.0,0.0,0.0,0.0,0.0,1786320.0,0.0,0.0,0.0,0.0,4920.0,0.0,136080.0,0.0,720.0,149160.0,0.0,0.0,0.0,151200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2090040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
