,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,BDUL,BDUR,DVC,PVCL,PVCR,PVNL,PVNR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,HSNL,HSNR,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08,CANL,CANR,CEPshDL,CEPshDR,CEPshVL,CEPshVR,GLRDL,GLRDR,GLRL,GLRR,GLRVL,GLRVR,excgl
ADFL,0.0,302899.2,0.0,0.0,725606.4,0.0,0.0,0.0,0.0,0.0,0.0,168038.4,0.0,0.0,0.0,950476.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145331.2,145152.0,0.0,2356377.6,0.0,1790515.2,29184.0,0.0,0.0,0.0,45465.6,441907.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62054.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589452.8,0.0,0.0,0.0,0.0,0.0,97689.6,0.0,388915.2,0.0,39782.4,175564.8,0.0,35635.2,495206.4,0.0,2867712.0,0.0,0.0,0.0,210278.4,0.0,0.0,0.0,0.0,1996.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20889.6,0.0,0.0,0.0,1975603.2,0.0,140390.4,0.0,342681.6,0.0,300595.2,0.0,103065.6,17049.6,0.0,0.0,0.0,1160140.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546508.8,0.0,0.0,0.0,377702.4,0.0,833433.6,0.0,1330636.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219801.6,0.0,0.0,0.0,0.0,0.0,1475328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADFR,302899.2,0.0,0.0,121036.8,0.0,812390.4,0.0,0.0,0.0,0.0,0.0,657715.2,264499.2,0.0,0.0,2764.8,993484.8,0.0,0.0,0.0,0.0,0.0,0.0,3379.2,2527180.8,91084.8,0.0,1747046.4,0.0,2606899.2,2918.4,109977.6,0.0,0.0,148224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2611.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514188.8,0.0,0.0,0.0,4300.8,0.0,84019.2,0.0,216729.6,203520.0,164966.4,61593.6,222873.6,0.0,640512.0,48537.6,2725171.2,0.0,0.0,0.0,296448.0,0.0,0.0,0.0,47155.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16896.0,0.0,0.0,0.0,1574092.8,0.0,308121.6,65587.2,198758.4,0.0,506112.0,75878.4,0.0,0.0,0.0,0.0,1085030.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481996.8,0.0,0.0,0.0,309964.8,0.0,802252.8,0.0,1040947.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71731.2,0.0,0.0,0.0,1020057.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107673.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADLL,0.0,0.0,0.0,476620.8,0.0,0.0,9676.8,0.0,0.0,0.0,0.0,1727078.4,0.0,8908.8,0.0,939724.8,0.0,115660.8,18892.8,25344.0,0.0,1569792.0,959232.0,0.0,0.0,0.0,1837363.2,0.0,1112678.4,0.0,1273958.4,1449369.6,0.0,0.0,0.0,0.0,0.0,105369.6,0.0,116889.6,0.0,0.0,0.0,191539.2,0.0,64204.8,0.0,19507.2,0.0,0.0,0.0,0.0,0.0,11827.2,0.0,0.0,0.0,2150.4,0.0,2764.8,0.0,8140.8,0.0,60211.2,0.0,564633.6,0.0,721920.0,35788.8,1306982.4,0.0,0.0,0.0,39014.4,0.0,2457.6,0.0,1175654.4,77414.4,118425.6,4608.0,82944.0,842342.4,23347.2,0.0,0.0,0.0,0.0,518707.2,0.0,0.0,0.0,326092.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100608.0,0.0,17049.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57907.2,0.0,24883.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3379.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102848.0,0.0,0.0,0.0,0.0,0.0,10598.4,0.0,0.0,0.0,0.0,0.0,2457.6,0.0,1116672.0,229939.2,11366.4,72192.0,299212.8,132249.6,273100.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128499.2,0.0,0.0,0.0,0.0,0.0,194304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242995.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADLR,0.0,121036.8,476620.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978982.4,0.0,0.0,0.0,1413427.2,0.0,478003.2,0.0,0.0,0.0,2020147.2,0.0,0.0,0.0,0.0,1769932.8,0.0,1209446.4,189235.2,1553817.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82790.4,0.0,0.0,0.0,163737.6,0.0,39936.0,0.0,78182.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16588.8,0.0,14745.6,0.0,53452.8,0.0,35020.8,0.0,648806.4,0.0,599961.6,0.0,1146777.6,0.0,4147.2,0.0,49766.4,0.0,4761.6,0.0,172646.4,0.0,83097.6,613478.4,97843.2,0.0,0.0,0.0,0.0,0.0,3840.0,65433.6,0.0,0.0,0.0,391526.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196761.6,0.0,52377.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96307.2,0.0,13977.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14592.0,0.0,0.0,0.0,0.0,0.0,0.0,1394073.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540979.2,375859.2,8448.0,455424.0,167116.8,230860.8,214272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976128.0,0.0,0.0,0.0,0.0,0.0,160512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFDL,725606.4,0.0,0.0,0.0,0.0,259430.4,0.0,0.0,0.0,0.0,0.0,27648.0,1170278.4,0.0,0.0,0.0,0.0,447436.8,0.0,0.0,0.0,0.0,0.0,2172057.6,68505.6,0.0,876134.4,0.0,439603.2,0.0,482150.4,655104.0,0.0,1242624.0,0.0,0.0,0.0,9062.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8908.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231782.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584.0,0.0,808243.2,79104.0,534835.2,3511142.4,5763072.0,11827.2,1334169.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18739.2,0.0,8601.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19046.4,0.0,0.0,0.0,0.0,0.0,3993.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50995.2,0.0,0.0,0.0,0.0,0.0,12134.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14284.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44390.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFDR,0.0,812390.4,0.0,0.0,259430.4,0.0,0.0,0.0,0.0,0.0,0.0,1623859.2,10598.4,0.0,3993.6,0.0,0.0,0.0,113971.2,0.0,0.0,0.0,0.0,0.0,1434931.2,123801.6,0.0,788275.2,0.0,325632.0,120115.2,385075.2,1647052.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81254.4,0.0,0.0,0.0,100761.6,0.0,41779.2,0.0,0.0,0.0,0.0,0.0,0.0,96307.2,0.0,0.0,0.0,0.0,0.0,0.0,210124.8,0.0,1075.2,0.0,0.0,0.0,0.0,0.0,56371.2,0.0,1266124.8,2687078.4,2337638.4,78796.8,6112972.8,0.0,1630464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4608.0,0.0,41472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40550.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALML,0.0,0.0,9676.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11980.8,0.0,0.0,0.0,13056.0,0.0,0.0,0.0,0.0,0.0,766617.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23193.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111206.4,0.0,0.0,0.0,0.0,306892.8,0.0,0.0,899942.4,0.0,205670.4,0.0,192921.6,0.0,0.0,0.0,88934.4,0.0,916224.0,0.0,0.0,0.0,0.0,0.0,211660.8,0.0,0.0,0.0,0.0,0.0,10598.4,0.0,567705.6,0.0,856934.4,1430016.0,27648.0,0.0,1595136.0,0.0,0.0,950323.2,0.0,0.0,0.0,0.0,0.0,1098547.2,0.0,0.0,0.0,0.0,0.0,444979.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70656.0,0.0,0.0,0.0,0.0,0.0,0.0,117811.2,4300.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759244.8,0.0,0.0,0.0,730368.0,0.0,0.0,0.0,840806.4,0.0,0.0,0.0,1382.4,0.0,0.0,0.0,0.0,0.0,0.0,509184.0,0.0,536064.0,0.0,0.0,32716.8,114124.8,274790.4,0.0,244377.6,508723.2,0.0,0.0,0.0,564787.2,0.0,1221734.4,0.0,0.0,0.0,84326.4,0.0,0.0,0.0,632064.0,0.0,488755.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32102.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25036.8,0.0,0.0,0.0,47155.2,0.0,0.0,0.0,0.0,1463808.0,0.0,0.0,0.0,32870.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681523.2,0.0,0.0,0.0,0.0,1750579.2,0.0,18278.4,0.0,146841.6,0.0,0.0,0.0,26265.6,0.0,1336627.2,0.0,0.0,0.0,0.0,0.0,104294.4,0.0,0.0,0.0,0.0,0.0,0.0,460.8,374016.0,936345.6,353894.4,0.0,125030.4,4761.6,2035200.0,0.0,456345.6,718080.0,0.0,0.0,0.0,0.0,903782.4,0.0,0.0,0.0,0.0,0.0,0.0,495360.0,0.0,0.0,0.0,0.0,0.0,0.0,135782.4,0.0,0.0,0.0,0.0,142080.0,0.0,0.0,0.0,0.0,113664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36096.0,380774.4,0.0,0.0,0.0,666470.4,0.0,871219.2,0.0,611020.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201216.0,0.0,809011.2,13363.2,0.0,81868.8,0.0,140083.2,11827.2,267110.4,0.0,0.0,0.0,0.0,479078.4,0.0,651571.2,0.0,0.0,0.0,0.0,0.0,82329.6,0.0,0.0,0.0,572160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64204.8
ALNL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171110.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46694.4,279859.2,944793.6,9523.2,0.0,0.0,16896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5068.8,0.0,0.0,0.0,0.0,0.0,10291.2,0.0,0.0,0.0,0.0,0.0,0.0,167884.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29952.0,0.0,0.0,0.0,56064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310118.4,137318.4,7065.6,180787.2,0.0,350515.2,0.0,0.0,0.0,0.0,0.0,0.0,95692.8,0.0,154368.0,528691.2,0.0,701491.2,0.0,0.0,0.0,360806.4,15820.8,0.0,0.0,1098086.4,39936.0,0.0,32563.2,1251532.8,240076.8,224563.2,0.0,0.0,0.0,0.0,652492.8,0.0,3072.0,0.0,3686.4,0.0,2611.2,0.0,0.0,0.0,0.0,0.0,103065.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1382.4,0.0,4761.6,0.0,0.0,0.0,1414963.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35788.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71731.2,0.0,0.0,0.0,0.0,0.0,0.0,138240.0,921.6,32563.2,1317888.0,0.0,0.0,0.0,51916.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105984.0,0.0,0.0,0.0,0.0,79718.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64512.0,0.0,0.0,0.0,0.0,0.0,126566.4,0.0,88780.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3225.6,0.0,0.0,233625.6,0.0,286617.6,13363.2,411955.2,0.0,37324.8,14745.6,0.0,0.0,0.0,0.0,0.0,20275.2,667545.6,443289.6,847872.0,0.0,0.0,0.0,132096.0,0.0,0.0,0.0,717312.0,0.0,0.0,80793.6,1124044.8,276787.2,719308.8,255744.0,0.0,0.0,0.0,0.0,0.0,683520.0,0.0,6758.4,10752.0,0.0,0.0,0.0,0.0,0.0,0.0,144998.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74649.6,0.0,0.0,0.0,0.0,789196.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18585.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3993.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
